+-------+--------------------+
| Epoch |        bpd         |
+-------+--------------------+
|   1   | 4.925706862487793  |
|   2   | 3.9851930604553223 |
|   3   | 3.873092201843262  |
|   4   | 3.8289259745025634 |
|   5   | 3.7456971730804445 |
|   6   | 3.680739294128418  |
|   7   | 3.6394364026641846 |
|   8   | 3.609101089782715  |
|   9   | 3.582871012878418  |
|   10  | 3.560983014984131  |
|   11  | 3.543236599121094  |
|   12  | 3.5270906452178954 |
|   13  | 3.5120094959259034 |
|   14  |  3.49845836730957  |
|   15  | 3.4858690953063967 |
|   16  | 3.474225945587158  |
|   17  | 3.463736914215088  |
|   18  | 3.453838115081787  |
|   19  | 3.4446678759765623 |
|   20  | 3.435407857284546  |
|   21  | 3.4276172497558592 |
|   22  | 3.4195707717895507 |
|   23  | 3.4126146307373046 |
|   24  | 3.4040757612609864 |
|   25  | 3.396772105484009  |
|   26  | 3.3889276977539065 |
|   27  |  3.14010448097229  |
|   28  | 3.1292984035491944 |
|   29  | 3.125633023300171  |
|   30  | 3.0979430785369875 |
|   31  | 3.0957444050598144 |
|   32  | 3.0950806754302977 |
+-------+--------------------+
